Title,Cast
Star Wars: Episode VII - The Force Awakens,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
Glass,"James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy"
Good Will Hunting,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård"
Fifty Shades of Grey,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford"
Lisa Frankenstein,"Kathryn Newton, Liza Soberano, Jenna Davis, Trina LaFargue"
Bob Marley: One Love,"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole"
The Long Game,"Jay Hernandez, Dennis Quaid, Cheech Marin, Julian Works"
10 Things I Hate About You,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik"
The Goonies,"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman"
The Voyeurs,"Sydney Sweeney, Justice Smith, Ben Hardy, Natasha Liu Bordizzo"
Jurassic World Dominion,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill"
The Dead Don't Die,"Bill Murray, Adam Driver, Tilda Swinton, Tom Waits"
Joker,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
Se7en,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
Spider-Man: No Way Home,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon"
The Outsiders,"C. Thomas Howell, Matt Dillon, Ralph Macchio, Patrick Swayze"
Promising Young Woman,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown"
Avengers: Endgame,"Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Mad Max 2,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps"
The Boys in the Boat,"Joel Edgerton, Callum Turner, Peter Guinness, Sam Strike"
The Land That Time Forgot,"Doug McClure, John McEnery, Susan Penhaligon, Keith Barron"
Aliens,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser"
Jurassic Park,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
Gone Girl,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
