Title,Cast
Hall Pass,"Peter Farrelly, Owen Wilson, Jason Sudeikis, Christina Applegate, Jenna Fischer"
Flightplan,"Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan"
A Midsummer Night's Dream,"Kevin Kline, Michelle Pfeiffer, Rupert Everett, Stanley Tucci"
Breakdown,"Kurt Russell, J.T. Walsh, Kathleen Quinlan, M.C. Gainey"
Hitman: Agent 47,"Rupert Friend, Hannah Ware, Zachary Quinto, Ciarán Hinds"
Of Mice and Men,"John Malkovich, Gary Sinise, Ray Walston, Casey Siemaszko"
City of Lies,"Johnny Depp, Forest Whitaker, Toby Huss, Dayton Callie"
Pieces of a Woman,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Iliza Shlesinger"
All the Bright Places,"Elle Fanning, Justice Smith, Alexandra Shipp, Kelli O'Hara"
Lou,"Allison Janney, Jurnee Smollett, Logan Marshall-Green, Ridley Asha Bateman"
Karigurashi no Arietti,"Bridgit Mendler, Amy Poehler, Will Arnett, Mirai Shida"
Inkheart,"Brendan Fraser, Andy Serkis, Eliza Bennett, Sienna Guillory"
The Saint,"Val Kilmer, Elisabeth Shue, Rade Serbedzija, Valeriy Nikolaev"
Wild Card,"Jason Statham, Michael Angarano, Dominik Garcia, Milo Ventimiglia"
SLC Punk!,"Matthew Lillard, Michael A. Goorjian, Annabeth Gish, Jennifer Lien"
The Lone Ranger,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson"
A Nightmare on Elm Street 4: The Dream Master,"Robert Englund, Rodney Eastman, John Beckman, Kisha Brackel"
Hairspray,"Sonny Bono, Ruth Brown, Divine, Debbie Harry"
Police Academy 3: Back in Training,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow"
Johnny English,"Rowan Atkinson, John Malkovich, Natalie Imbruglia, Tasha de Vasconcelos"
Rent,"Taye Diggs, Wilson Jermaine Heredia, Rosario Dawson, Anthony Rapp"
Time Trap,"Ben Foster, Reiley McClendon, Cassidy Gifford, Brianne Howey, Olivia Draguicevich"
Orgazmo,"Trey Parker, Dian Bachar, Robyn Lynne Raab, Michael Dean Jacobs"
8MM,"Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare"
The Sea Beast,"Karl Urban, Zaris-Angel Hator, Jared Harris, Marianne Jean-Baptiste"
The Shack,"Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell"
Death Note,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham"
Greater,"Neal McDonough, Leslie Easterbrook, Christopher Severio, Michael Parks"
The Man Who Shot Liberty Valance,"James Stewart, John Wayne, Vera Miles, Lee Marvin"
Creepshow,"Hal Holbrook, Leslie Nielsen, Adrienne Barbeau, E.G. Marshall"
Mustang,"Günes Sensoy, Doga Zeynep Doguslu, Tugba Sunguroglu, Elit Iscan"
Bernie,"Jack Black, Shirley MacLaine, Matthew McConaughey, Brady Coleman"
Pale Rider,"Clint Eastwood, Michael Moriarty, Carrie Snodgress, Sydney Penny"
Teenage Mutant Ninja Turtles: Out of the Shadows,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney"
Draft Day,"Kevin Costner, Chadwick Boseman, Jennifer Garner, Frank Langella"
Love Story,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland"
The Deep End of the Ocean,"Michelle Pfeiffer, Treat Williams, Whoopi Goldberg, Jonathan Jackson"
Theater Camp,"Nick Lieberman, Ben Platt, Molly Gordon, Noah Galvin, Jimmy Tatro"
Roma,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta"
T2 Trainspotting,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Robert Carlyle"
The Upside,"Kevin Hart, Bryan Cranston, Nicole Kidman, Aja Naomi King"
Tenacious D in The Pick of Destiny,"Jack Black, Kyle Gass, JR Reed, Ronnie James Dio"
Storks,"Doug Sweetland, Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston"
What Women Want,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda"
A Good Year,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard"
Chariots of Fire,"Ben Cross, Ian Charleson, Nicholas Farrell, Nigel Havers"
Wild Wild West,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek"
Selena,"Jennifer Lopez, Edward James Olmos, Jon Seda, Jackie Guerra"
Winter's Tale,"Colin Farrell, Jessica Brown Findlay, Russell Crowe, Jennifer Connelly"
Little Nicky,"Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans"
Police Academy 2: Their First Assignment,"James Signorelli, Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow"
The Bucket List,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd"
Frequency,"Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell"
The Signal,"Brenton Thwaites, Olivia Cooke, Beau Knapp, Laurence Fishburne"
Faster,"Dwayne Johnson, Billy Bob Thornton, Maggie Grace, Mauricio Lopez"
Midnight Run,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton"
Rush Hour 3,"Jackie Chan, Chris Tucker, Max von Sydow, Hiroyuki Sanada"
Once Upon a Time in Mexico,"Antonio Banderas, Salma Hayek, Johnny Depp, Willem Dafoe"
Americana,"Sydney Sweeney, Paul Walter Hauser, Eric Dane, Halsey"
Over the Top,"Sylvester Stallone, Robert Loggia, Susan Blakely, Rick Zumwalt"
Spy Kids 2: Island of Lost Dreams,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino"
The Grey,"Liam Neeson, Dermot Mulroney, Frank Grillo, Dallas Roberts"
Chasing Amy,"Ben Affleck, Joey Lauren Adams, Ethan Suplee, Scott Mosier"
Kill the Irishman,"Ray Stevenson, Christopher Walken, Vincent D'Onofrio, Val Kilmer"
Dangerous Liaisons,"Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz"
The Dig,"Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn"
Ghost World,"Steve Buscemi, Thora Birch, Scarlett Johansson, Brad Renfro"
Searching,"John Cho, Debra Messing, Joseph Lee, Michelle La"
Free Willy,"Jason James Richter, Lori Petty, Michael Madsen, Jayne Atkinson"
Night Teeth,"Jorge Lendeborg Jr., Debby Ryan, Lucy Fry, Raúl Castillo"
Disenchanted,"Amy Adams, Patrick Dempsey, Maya Rudolph, Gabriella Baldacchino"
The Toxic Avenger,"Lloyd Kaufman, Andree Maranda, Mitch Cohen, Jennifer Babtist, Cindy Manion"
Scary Stories to Tell in the Dark,"Zoe Colletti, Michael Garza, Gabriel Rush, Austin Abrams"
Rashômon,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura"
The Pink Panther,"Steve Martin, Kevin Kline, Jean Reno, Emily Mortimer"
Ice Age: Collision Course,"Galen T. Chu, Ray Romano, Denis Leary, John Leguizamo, Chris Wedge"
Dressed to Kill,"Michael Caine, Angie Dickinson, Nancy Allen, Keith Gordon"
All That Jazz,"Roy Scheider, Jessica Lange, Ann Reinking, Leland Palmer"
Breaking Away,"Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley"
I Still Know What You Did Last Summer,"Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood, Mekhi Phifer"
Ghost Rider: Spirit of Vengeance,"Brian Taylor, Nicolas Cage, Ciarán Hinds, Idris Elba, Violante Placido"
Death Wish,"Charles Bronson, Hope Lange, Vincent Gardenia, Steven Keats"
The Sorcerer's Apprentice,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer"
Only Lovers Left Alive,"Tilda Swinton, Tom Hiddleston, Mia Wasikowska, John Hurt"
The Final Girls,"Taissa Farmiga, Malin Akerman, Adam Devine, Thomas Middleditch"
The Last Letter from Your Lover,"Shailene Woodley, Joe Alwyn, Wendy Nottingham, Felicity Jones"
CHIPS,"Michael Peña, Dax Shepard, Vincent D'Onofrio, Rosa Salazar"
The Weekend Away,"Leighton Meester, Christina Wolfe, Ziad Bakri, Luke Norris"
Maverick,"Mel Gibson, Jodie Foster, James Garner, Graham Greene"
Dinosaur,"Ralph Zondag, D.B. Sweeney, Julianna Margulies, Samuel E. Wright, Alfre Woodard"
Meet the Spartans,"Aaron Seltzer, Sean Maguire, Kevin Sorbo, Carmen Electra, Ken Davitian"
Fat Albert,"Kenan Thompson, Kyla Pratt, Omarion, Marques Houston"
Killer Klowns from Outer Space,"Grant Cramer, Suzanne Snyder, John Allen Nelson, John Vernon"
Chicken Run,"Nick Park, Mel Gibson, Julia Sawalha, Phil Daniels, Lynn Ferguson"
Big George Foreman,"Khris Davis, Jasmine Mathews, Sullivan Jones, Lawrence Gilliard Jr."
The Tiger's Apprentice,"Yong Duk Jhun, Paul Watling, Henry Golding, Brandon Soo Hoo, Lucy Liu, Sandra Oh"
Days of Thunder,"Tom Cruise, Nicole Kidman, Robert Duvall, Randy Quaid"
The Infiltrator,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan"
The Postman,"Kevin Costner, Will Patton, Larenz Tate, Olivia Williams"
Brother Bear,"Robert Walker, Joaquin Phoenix, Jeremy Suarez, Rick Moranis, Jason Raize"
Bull Durham,"Kevin Costner, Susan Sarandon, Tim Robbins, Trey Wilson"
Snakes on a Plane,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard"
Friday the 13th: The Final Chapter,"Erich Anderson, Judie Aronson, Peter Barton, Kimberly Beck"
Inventing the Abbotts,"Liv Tyler, Jennifer Connelly, Joaquin Phoenix, Billy Crudup"
Heartbreak Ridge,"Clint Eastwood, Marsha Mason, Everett McGill, Moses Gunn"
Anger Management,"Jack Nicholson, Adam Sandler, Marisa Tomei, Luis Guzmán"
Little Darlings,"Tatum O'Neal, Kristy McNichol, Armand Assante, Matt Dillon"
Invincible,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway"
Murder on the Orient Express,"Albert Finney, Lauren Bacall, Ingrid Bergman, Sean Connery"
The Croods,"Chris Sanders, Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener"
Casino Royale,"Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge, David Niven, Peter Sellers, Ursula Andress, Orson Welles"
The Little Hours,"Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza"
Saw II,"Donnie Wahlberg, Beverley Mitchell, Franky G, Emmanuelle Vaugier"
Red Dawn,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck"
The Mothman Prophecies,"Richard Gere, Laura Linney, David Eigenberg, Bob Tracey"
Mike and Dave Need Wedding Dates,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza"
The Score,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett"
Novecento,"Robert De Niro, Gérard Depardieu, Dominique Sanda, Francesca Bertini"
"McFarland, USA","Kevin Costner, Maria Bello, Ramiro Rodriguez, Carlos Pratts"
The Bridges of Madison County,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak"
Night School,"Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco"
A Good Day to Die Hard,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead"
Ri¢hie Ri¢h,"Macaulay Culkin, Edward Herrmann, John Larroquette, Christine Ebersole"
Maybe I Do,"Diane Keaton, William H. Macy, Richard Gere, Susan Sarandon"
Little Fockers,"Ben Stiller, Teri Polo, Robert De Niro, Owen Wilson"
In the Mouth of Madness,"Sam Neill, Jürgen Prochnow, Julie Carmen, David Warner"
The Fog,"Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh, John Houseman"
Percy Jackson: Sea of Monsters,"Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion"
A Dog's Purpose,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar"
The Final Destination,"Nick Zano, Krista Allen, Andrew Fiscella, Bobby Campo"
Cry Macho,"Clint Eastwood, Dwight Yoakam, Daniel V. Graulau, Amber Lynn Ashley"
Star Trek IV: The Voyage Home,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan"
Ghost Stories,"Andy Nyman, Samuel Bottomley, Deborah Wastell, Amy Doyle, Daniel Hill"
Drive Me Crazy,"Melissa Joan Hart, Adrian Grenier, Stephen Collins, Mark Metcalf"
The Beastmaster,"Marc Singer, Tanya Roberts, Rip Torn, John Amos"
Tango & Cash,"Albert Magnoli, Sylvester Stallone, Kurt Russell, Teri Hatcher, Jack Palance"
Sometimes I Think About Dying,"Daisy Ridley, Dave Merheje, Parvesh Cheena, Marcia DeBonis"
Death on the Nile,"Peter Ustinov, Mia Farrow, Simon MacCorkindale, Jane Birkin"
The Crying Game,"Stephen Rea, Jaye Davidson, Forest Whitaker, Miranda Richardson"
A Nightmare on Elm Street Part 2: Freddy's Revenge,"Robert Englund, Mark Patton, Kim Myers, Robert Rusler"
Anthropoid,"Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr."
The Tailor of Panama,"Pierce Brosnan, Geoffrey Rush, Jamie Lee Curtis, Leonor Varela"
This Is England,"Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim"
Malice,"Alec Baldwin, Nicole Kidman, Bill Pullman, Bebe Neuwirth"
In the Shadow of the Moon,"Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine, Michael C. Hall"
This Means War,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger"
Turist,"Johannes Kuhnke, Lisa Loven Kongsli, Clara Wettergren, Vincent Wettergren"
Fun with Dick and Jane,"Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins"
The Lesson,"Richard E. Grant, Julie Delpy, Daryl McCormack, Stephen McMillan"
Invictus,"Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng"
Priest,"Paul Bettany, Cam Gigandet, Maggie Q, Karl Urban"
Penguins of Madagascar,"Simon J. Smith, Tom McGrath, Chris Miller, Christopher Knights, Conrad Vernon"
3 Days to Kill,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard"
Nanny McPhee,"Emma Thompson, Colin Firth, Angela Lansbury, Kelly Macdonald"
War Horse,"Jeremy Irvine, Emily Watson, David Thewlis, Benedict Cumberbatch"
The Day the Earth Stood Still,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe"
City of Angels,"Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz"
Reality Bites,"Winona Ryder, Ethan Hawke, Janeane Garofalo, Steve Zahn"
Date Night,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson"
Tolkien,"Nicholas Hoult, Lily Collins, Colm Meaney, Derek Jacobi"
Badlands,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri"
Spencer,"Kristen Stewart, Timothy Spall, Sally Hawkins, Jack Nielen"
In the Tall Grass,"Laysla De Oliveira, Avery Whitted, Patrick Wilson, Will Buie Jr."
Behind Enemy Lines,"Gene Hackman, Owen Wilson, Gabriel Macht, Charles Malik Whitfield"
The Banker,"Anthony Mackie, Samuel L. Jackson, Nicholas Hoult, Nia Long"
Who's Afraid of Virginia Woolf?,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis"
Filth,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots"
Jolt,"Kate Beckinsale, Jai Courtney, Stanley Tucci, Bobby Cannavale"
RED 2,"Bruce Willis, Helen Mirren, John Malkovich, Anthony Hopkins"
The Pod Generation,"Emilia Clarke, Chiwetel Ejiofor, Rosalie Craig, Vinette Robinson"
The Secret: Dare to Dream,"Katie Holmes, Josh Lucas, Celia Weston, Jerry O'Connell"
The Dirty Dozen,"Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes"
The Color of Money,"Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver"
Serial Mom,"Kathleen Turner, Sam Waterston, Ricki Lake, Matthew Lillard"
The Road to El Dorado,"Don Paul, Jeffrey Katzenberg, Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante"
The Commuter,"Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks"
The Longest Day,"Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck, John Wayne, Robert Ryan, Richard Burton, Henry Fonda"
Untraceable,"Diane Lane, Colin Hanks, Joseph Cross, Billy Burke"
Annabelle Comes Home,"Vera Farmiga, Patrick Wilson, Mckenna Grace, Madison Iseman"
Quiz Lady,"Awkwafina, Sandra Oh, Will Ferrell, Holland Taylor"
I Now Pronounce You Chuck & Larry,"Adam Sandler, Kevin James, Jessica Biel, Dan Aykroyd"
47 Meters Down,"Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson"
Surf's Up,"Chris Buck, Shia LaBeouf, Zooey Deschanel, Jon Heder, Jeff Bridges"
Coming 2 America,"Eddie Murphy, Arsenio Hall, Shari Headley, Jermaine Fowler"
Operation Finale,"Oscar Isaac, Ben Kingsley, Mélanie Laurent, Lior Raz"
The Wedding Ringer,"Kevin Hart, Josh Gad, Kaley Cuoco, Affion Crockett"
The Haunted Mansion,"Eddie Murphy, Marsha Thomason, Jennifer Tilly, Terence Stamp"
The Only Living Boy in New York,"Callum Turner, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon"
Spy Game,"Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane"
About a Boy,"Paul Weitz, Hugh Grant, Nicholas Hoult, Toni Collette, Sharon Small"
Osmosis Jones,"Peter Farrelly, Laurence Fishburne, Chris Rock, David Hyde Pierce, Brandy Norwood"
Cruising,"Al Pacino, Paul Sorvino, Karen Allen, Richard Cox"
U-571,"Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi"
Poseidon,"Richard Dreyfuss, Kurt Russell, Emmy Rossum, Josh Lucas"
PAW Patrol: The Movie,"Tyler Perry, Ron Pardo, Will Brisbin, Kingsley Marshall"
50/50,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard"
48 Hrs.,"Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae"
Beaches,"Bette Midler, Barbara Hershey, John Heard, Spalding Gray"
Puss in Boots,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton"
Horse Girl,"Alison Brie, Molly Shannon, Goldenite, Stella Chestnut"
The Golden Child,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis"
Becky,"Cary Murnion, Lulu Wilson, Kevin James, Joel McHale, Robert Maillet"
The Silence,"Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter"
Manbiki kazoku,"Lily Franky, Sakura Andô, Kirin Kiki, Mayu Matsuoka"
Straw Dogs,"Dustin Hoffman, Susan George, Peter Vaughan, T.P. McKenna"
Leap Year,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow"
Octopussy,"Roger Moore, Maud Adams, Louis Jourdan, Kristina Wayborn"
The Young and Prodigious T.S. Spivet,"Helena Bonham Carter, Judy Davis, Callum Keith Rennie, Kyle Catlett"
The Big Hit,"Mark Wahlberg, Lou Diamond Phillips, Christina Applegate, Avery Brooks"
Cop Land,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro"
Lost Girls and Love Hotels,"Alexandra Daddario, Takehiro Hira, Carice van Houten, Andrew Rothney"
The Man from Toronto,"Kevin Hart, Woody Harrelson, Jasmine Mathews, Kaley Cuoco"
Lady in the Water,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban"
Kazaam,"Shaquille O'Neal, Francis Capra, Ally Walker, James Acheson"
Hereafter,"Matt Damon, Cécile de France, Bryce Dallas Howard, Thierry Neuvic"
All the Money in the World,"Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris"
Io sono l'amore,"Tilda Swinton, Flavio Parenti, Edoardo Gabbriellini, Alba Rohrwacher"
Young Adult,"Charlize Theron, Patrick Wilson, Patton Oswalt, Elizabeth Reaser"
The Hunger,"Catherine Deneuve, David Bowie, Susan Sarandon, Cliff De Young"
Hart's War,"Bruce Willis, Colin Farrell, Terrence Howard, Cole Hauser"
Wrath of the Titans,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes"
Jagged Edge,"Jeff Bridges, Glenn Close, Peter Coyote, Robert Loggia"
Elephant,"Elias McConnell, Alex Frost, Eric Deulen, John Robinson"
Black Snake Moan,"Christina Ricci, Samuel L. Jackson, Justin Timberlake, S. Epatha Merkerson"
Lazzaro felice,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani"
Orphan: First Kill,"Isabelle Fuhrman, Julia Stiles, Rossif Sutherland, Hiro Kanagawa"
Defiance,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos"
The Dead Pool,"Clint Eastwood, Liam Neeson, Patricia Clarkson, Evan C. Kim"
Mr. Church,"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel"
Marcel the Shell with Shoes On,"Jenny Slate, Dean Fleischer Camp, Isabella Rossellini, Joe Gabler"
The Prodigy,"Taylor Schilling, Jackson Robert Scott, Peter Mooney, Colm Feore"
Blue Ruin,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack"
Macbeth,"Michael Fassbender, Marion Cotillard, Jack Madigan, Frank Madigan"
The Manchurian Candidate,"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury"
Oliver & Company,"Joey Lawrence, Billy Joel, Cheech Marin, Richard Mulligan"
Studio 666,"Dave Grohl, Nate Mendel, Pat Smear, Taylor Hawkins"
Shirley,"Regina King, Lance Reddick, Terrence Howard, Lucas Hedges"
Flatliners,"Kiefer Sutherland, Kevin Bacon, Julia Roberts, William Baldwin"
The Full Monty,"Robert Carlyle, Tom Wilkinson, Mark Addy, Wim Snape"
Somewhere in Time,"Christopher Reeve, Jane Seymour, Christopher Plummer, Teresa Wright"
Fingernails,"Jessie Buckley, Riz Ahmed, Jeremy Allen White, Luke Wilson"
The Last Emperor,"John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying"
21 Grams,"Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston"
Parker,"Jason Statham, Jennifer Lopez, Michael Chiklis, Nick Nolte"
Rob Roy,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth"
The Island of Dr. Moreau,"Richard Stanley, David Thewlis, Marlon Brando, Val Kilmer, Fairuza Balk"
Final Destination 5,"Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher"
Without Remorse,"Michael B. Jordan, Jodie Turner-Smith, Jamie Bell, Guy Pearce"
Murder by Numbers,"Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt"
Heartbreakers,"Sigourney Weaver, Jennifer Love Hewitt, Gene Hackman, Ray Liotta"
È stata la mano di Dio,"Filippo Scotti, Toni Servillo, Teresa Saponangelo, Marlon Joubert"
Christopher Robin,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss"
3 Ninjas: High Noon at Mega Mountain,"Loni Anderson, Hulk Hogan, Jim Varney, Victor Wong"
Star Wars: The Clone Wars,"Matt Lanter, Nika Futterman, Tom Kane, Ashley Eckstein"
Dogfight,"River Phoenix, Lili Taylor, Richard Panebianco, Anthony Clark"
Rocky V,"Sylvester Stallone, Talia Shire, Burt Young, Sage Stallone"
Eighth Grade,"Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan"
Father of the Bride,"Andy Garcia, Gloria Estefan, Adria Arjona, Isabela Merced"
Okja,"Tilda Swinton, Paul Dano, Ahn Seo-hyun, Jake Gyllenhaal"
Desperately Seeking Susan,"Rosanna Arquette, Madonna, Aidan Quinn, Mark Blum"
Scoob!,"Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez"
The Smurfs,"Hank Azaria, Katy Perry, Jonathan Winters, Neil Patrick Harris"
Under Siege 2: Dark Territory,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl"
Mr. Right,"Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone"
A Dangerous Method,"Michael Fassbender, Keira Knightley, Viggo Mortensen, Vincent Cassel"
Mama,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse"
Norbit,"Eddie Murphy, Thandiwe Newton, Terry Crews, Clifton Powell"
Night of the Comet,"Catherine Mary Stewart, Kelli Maroney, Robert Beltran, Sharon Farrell"
Waitress,"Keri Russell, Nathan Fillion, Jeremy Sisto, Cheryl Hines"
The Uninvited,"Thomas Guard, Emily Browning, Arielle Kebbel, Elizabeth Banks, David Strathairn"
True Story,"James Franco, Jonah Hill, Felicity Jones, Maria Dizzia"
The Lie,"Peter Sarsgaard, Mireille Enos, Joey King, Cas Anvar"
Notorious,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern"
Skin,"Jamie Bell, Danielle Macdonald, Daniel Henshall, Bill Camp"
To Catch a Thief,"Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams"
Death at a Funeral,"Matthew Macfadyen, Peter Dinklage, Ewen Bremner, Keeley Hawes"
Letters from Iwo Jima,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase"
Jersey Girl,"Ben Affleck, Liv Tyler, Raquel Castro, Betty Aberlin"
The Time Traveler's Wife,"Eric Bana, Rachel McAdams, Ron Livingston, Michelle Nolden"
Bros,"Billy Eichner, Luke Macfarlane, Guy Branum, Miss Lawrence"
Perfect,"John Travolta, Jamie Lee Curtis, Ramey Ellis, Alma Beltran"
Sex Tape,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper"
Deadfall,"Eric Bana, Olivia Wilde, Charlie Hunnam, Sissy Spacek"
From Beyond,"Jeffrey Combs, Barbara Crampton, Ted Sorel, Ken Foree"
Monster Hunter,"Milla Jovovich, Tony Jaa, Ron Perlman, Tip 'T.I.' Harris"
Darkman,"Liam Neeson, Frances McDormand, Colin Friels, Larry Drake"
The Good Dinosaur,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple"
The Secret of NIMH,"Elizabeth Hartman, Derek Jacobi, Dom DeLuise, Arthur Malet"
The Squid and the Whale,"Owen Kline, Jeff Daniels, Laura Linney, Jesse Eisenberg"
Frances Ha,"Greta Gerwig, Mickey Sumner, Adam Driver, Michael Zegen"
Sudden Impact,"Clint Eastwood, Sondra Locke, Pat Hingle, Bradford Dillman"
All the President's Men,"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam"
Locke,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott"
Pirate Radio,"Philip Seymour Hoffman, Bill Nighy, Nick Frost, Michael Hadley"
The Manchurian Candidate,"Denzel Washington, Liev Schreiber, Meryl Streep, Kimberly Elise"
Haunt,"Bryan Woods, Katie Stevens, Will Brittain, Lauryn Alisa McClain, Andrew Lewis Caldwell"
Volcano,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle"
Cloudy with a Chance of Meatballs 2,"Kris Pearn, Bill Hader, Anna Faris, Will Forte, Neil Patrick Harris"
Conan the Barbarian,"Jason Momoa, Ron Perlman, Rose McGowan, Stephen Lang"
Moonraker,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
Siu Lam juk kau,"Stephen Chow, Wei Zhao, Yat-Fei Wong, Man-Tat Ng"
RV,"Robin Williams, Cheryl Hines, Kristin Chenoweth, JoJo"
Villains,"Robert Olsen, Bill Skarsgård, Maika Monroe, Blake Baumgartner, Jeffrey Donovan"
Good Grief,"Dan Levy, Ruth Negga, Himesh Patel, Luke Evans"
