id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"Màn hình và bàn phím to, âm thanh ổn và quan trọng là pin bự nên có thể nghe lâu dài, chờ con cháu về sạc giùm.",0,6428395,5,1661398992,Ngọc Trinh ,1661002040
,Không hài lòng,Bạn ơi điện thoại nó mau hết PIN có đổi được không ạ,0,184653,2,1664543795,Nguyễn  Văn Luyến,1664109974
,Cực kì hài lòng,Good,1,607021,5,1658479768,Nguyễn Đăng Khoa,1658287139
,Cực kì hài lòng,,0,28103143,5,1665305323,Le Kieu,1661831831
,Cực kì hài lòng,ok,0,1098985,5,1662529578,Nguyễn Vĩnh Thụy,1661295021
,Cực kì hài lòng,,0,11824404,5,1661783064,Lưu Phúc,1659149995
,Cực kì hài lòng,Tốt,1,9298143,5,1647098493,Phùng Thị Mỹ Dung,1642819947
,Cực kì hài lòng,ok,0,10410695,5,1645856727,Huỳnh Hoàng Chuyện,1645277473
,Rất không hài lòng,"Lần đầu tiên mua điện thoại mà gắn sim nước ngoài nói là dòng a34 sản xuất ở vn chỉ sài được ở vn thôi :))) gắn sim nước ngoài là k sài được :))) lần đầu tiên ra samsung chỗ hàng nói hàng này bị 2 lỗi ;))) đem về đưa tiki xem thì nói k có lỗi gì :))) khi yêu cầu hoàn tiền về thì bảo qua thời hạn , trong khi điện thoại nhận chưa cầm đủ nóng tay đã trả hàng về bên tiki mất 1 tuần ;))) bây giờ lại nói là k lỗi gì hết . Là DÒNG ĐT A34 NÀY LÀ DÒNG CHỈ SỬ DỤNG TRONG NƯỚC VN THÔI . Giải thích hơn cả giải thích . :))) quá thất vọng khi mua điện thoại này :))) đủ lí do để biện minh :))) sống có đức đi . K ai rảnh mua đt hư để trả đi trả về quài đâu . Mất bao nhiêu thời gian công việc để chờ và thông báo k sài dc sim nước ngoài :))",0,29137785,1,1698812421,Duyên trịnh,1697577809
,Cực kì hài lòng,"Camera tạm ổn bù lại máy rất mượt và trơn tru. Pin trâu xài rất lâu máy cũng không nóng gì mấy, thiết kế mặt lưng đơn giản mà sang chảnh nhìn bắt mắt,máy nhẹ cầm nắm rất chắc tay. Tất cả những tác vụ hằng ngày rất tốt sẽ dành cho người không đòi hỏi quá cao. Nói tóm lại nếu 10 điểm thì Samsung Galaxy A34 được 8 ,5 điểm. Đó là quan điểm và ý kiến riêng của mình♥",0,28743387,5,1695296134,Huy Phan,1694786700
,Cực kì hài lòng,"Mình đã nhận được điện thoại, hàng còn nguyên đai nguyên kiện, rất đẹp và kiểm tra là chính hãng. nhưng lúc mua mình định mua trả gop mà lúc thanh toán online thì mình lại bấm thanh toán toàn bộ, nay hàng về mới thấy giá chênh lệch 205k. đề nghị nhà bán kiểm tra giúp giao dịch và chuyển lại tiền cho mình số thừa so với giá bán với nhé ạ.",0,17479853,5,1694761850,Đỗ Hồng STCTQ,1694576645
,Cực kì hài lòng,"Camera cũng tạm, đủ sáng thì ok, camera trước chụp vô như bệnh gan 😇
Điện thoại dùng mượt, màn đẹp, viền cân đội, máy to nhưng cầm thoải mái. Pin ổn",2,198202,5,1681287856,Nguyễn Nhật Linh,1680887580
,Cực kì hài lòng,"Mua lần nào cũng hài lòng , đặt hôm trước thì hôm sau đã giao , shiper nhiệt tình , giá rẻ hơn ngoài cửa hàng, nguyên seal . Sản phẩm xài mượt , ổn áp . Không biết kích hoạt bảo hành ntn mong tiki kích hoạt giúp .",3,8184126,5,1682158466,thanh tuấn,1682053057
,Cực kì hài lòng,"Đúng nguyen seal, giao hàng nhanh lịch sự, rất hài lòng",0,27730054,5,1693921041,Nghia Nguyen,1693874108
,Không hài lòng,"Ủa mà dòng này không có sẵn sạc kèm theo trong hộp đựng máy ạ ?
Giao hàng trễ nữa

2 sao",1,5375254,2,1683718653,Ngọc NV,1683268799
,Cực kì hài lòng,,0,29267011,5,1699180783,Trần Văn Hiếu,1698919813
,Hài lòng,,0,26131694,4,1698129367,Hong Hanh,1692331619
,Hài lòng,,0,29090672,4,1697773530,Nguyễn Văn son ,1684127208
,Rất không hài lòng,"Lần đầu tiên mua điện thoại mà gắn sim nước ngoài nói là dòng a34 sản xuất ở vn chỉ sài được ở vn thôi :))) gắn sim nước ngoài là k sài được :))) lần đầu tiên ra samsung chỗ hàng nói hàng này bị 2 lỗi ;))) đem về đưa tiki xem thì nói k có lỗi gì :))) khi yêu cầu hoàn tiền về thì bảo qua thời hạn , trong khi điện thoại nhận chưa cầm đủ nóng tay đã trả hàng về bên tiki mất 1 tuần ;))) bây giờ lại nói là k lỗi gì hết . Là DÒNG ĐT A34 NÀY LÀ DÒNG CHỈ SỬ DỤNG TRONG NƯỚC VN THÔI . Giải thích hơn cả giải thích . :))) quá thất vọng khi mua điện thoại này :))) đủ lí do để biện minh :))) sống có đức đi . K ai rảnh mua đt hư để trả đi trả về quài đâu . Mất bao nhiêu thời gian công việc để chờ và thông báo k sài dc sim nước ngoài :))",0,29137785,1,1698812421,Duyên trịnh,1697577809
,Cực kì hài lòng,"Camera tạm ổn bù lại máy rất mượt và trơn tru. Pin trâu xài rất lâu máy cũng không nóng gì mấy, thiết kế mặt lưng đơn giản mà sang chảnh nhìn bắt mắt,máy nhẹ cầm nắm rất chắc tay. Tất cả những tác vụ hằng ngày rất tốt sẽ dành cho người không đòi hỏi quá cao. Nói tóm lại nếu 10 điểm thì Samsung Galaxy A34 được 8 ,5 điểm. Đó là quan điểm và ý kiến riêng của mình♥",0,28743387,5,1695296134,Huy Phan,1694786700
,Cực kì hài lòng,"Mình đã nhận được điện thoại, hàng còn nguyên đai nguyên kiện, rất đẹp và kiểm tra là chính hãng. nhưng lúc mua mình định mua trả gop mà lúc thanh toán online thì mình lại bấm thanh toán toàn bộ, nay hàng về mới thấy giá chênh lệch 205k. đề nghị nhà bán kiểm tra giúp giao dịch và chuyển lại tiền cho mình số thừa so với giá bán với nhé ạ.",0,17479853,5,1694761850,Đỗ Hồng STCTQ,1694576645
,Cực kì hài lòng,"Camera cũng tạm, đủ sáng thì ok, camera trước chụp vô như bệnh gan 😇
Điện thoại dùng mượt, màn đẹp, viền cân đội, máy to nhưng cầm thoải mái. Pin ổn",2,198202,5,1681287856,Nguyễn Nhật Linh,1680887580
,Cực kì hài lòng,"Mua lần nào cũng hài lòng , đặt hôm trước thì hôm sau đã giao , shiper nhiệt tình , giá rẻ hơn ngoài cửa hàng, nguyên seal . Sản phẩm xài mượt , ổn áp . Không biết kích hoạt bảo hành ntn mong tiki kích hoạt giúp .",3,8184126,5,1682158466,thanh tuấn,1682053057
,Cực kì hài lòng,"Đúng nguyen seal, giao hàng nhanh lịch sự, rất hài lòng",0,27730054,5,1693921041,Nghia Nguyen,1693874108
,Không hài lòng,"Ủa mà dòng này không có sẵn sạc kèm theo trong hộp đựng máy ạ ?
Giao hàng trễ nữa

2 sao",1,5375254,2,1683718653,Ngọc NV,1683268799
,Cực kì hài lòng,,0,29267011,5,1699180783,Trần Văn Hiếu,1698919813
,Hài lòng,,0,26131694,4,1698129367,Hong Hanh,1692331619
,Hài lòng,,0,29090672,4,1697773530,Nguyễn Văn son ,1684127208
,Cực kì hài lòng,,0,12511772,5,1710048824,Hằng Nga,1709752780
,Cực kì hài lòng,,0,12511772,5,1710048824,Hằng Nga,1709752780
,Cực kì hài lòng,,0,12112802,5,1700280272,Đào Phương Nam,1699436370
,Cực kì hài lòng,,0,12112802,5,1700280272,Đào Phương Nam,1699436370
,Cực kì hài lòng,"Hàng dúng 
Như qc 
Sài rất OK 
Tôi. Rất hai long",0,8680459,5,1691359622,Phan Khánh Cát,1691050867
,Cực kì hài lòng,"Hàng dúng 
Như qc 
Sài rất OK 
Tôi. Rất hai long",0,8680459,5,1691359622,Phan Khánh Cát,1691050867
,Cực kì hài lòng,Sài rất OK.,0,6388650,5,1708360965,Lê Đức Thảo,1707820794
